,Coshocton,Coshocton,Coshocton,Coshocton,Coshocton,Coshocton,Coshocton,Crooksville,Crooksville,Crooksville,Crooksville,Crooksville,Crooksville,Crooksville,East Muskingum,East Muskingum,East Muskingum,East Muskingum,East Muskingum,East Muskingum,East Muskingum,Franklin,Franklin,Franklin,Franklin,Franklin,Franklin,Franklin,Logan_Hocking,Logan_Hocking,Logan_Hocking,Logan_Hocking,Logan_Hocking,Logan_Hocking,Logan_Hocking,Maysville,Maysville,Maysville,Maysville,Maysville,Maysville,Maysville,Morgan,Morgan,Morgan,Morgan,Morgan,Morgan,Morgan,New Lexington City SD,New Lexington City SD,New Lexington City SD,New Lexington City SD,New Lexington City SD,New Lexington City SD,New Lexington City SD,Northern Local SD,Northern Local SD,Northern Local SD,Northern Local SD,Northern Local SD,Northern Local SD,Northern Local SD,Ridgewood,Ridgewood,Ridgewood,Ridgewood,Ridgewood,Ridgewood,Ridgewood,Riverview,Riverview,Riverview,Riverview,Riverview,Riverview,Riverview,TriValley,TriValley,TriValley,TriValley,TriValley,TriValley,TriValley,West Muskingum,West Muskingum,West Muskingum,West Muskingum,West Muskingum,West Muskingum,West Muskingum,Zanesville,Zanesville,Zanesville,Zanesville,Zanesville,Zanesville,Zanesville
,2007,2008,2009,2010,2011,2012,2013,2007,2008,2009,2010,2011,2012,2013,2007,2008,2009,2010,2011,2012,2013,2007,2008,2009,2010,2011,2012,2013,2007,2008,2009,2010,2011,2012,2013,2007,2008,2009,2010,2011,2012,2013,2007,2008,2009,2010,2011,2012,2013,2007,2008,2009,2010,2011,2012,2013,2007,2008,2009,2010,2011,2012,2013,2007,2008,2009,2010,2011,2012,2013,2007,2008,2009,2010,2011,2012,2013,2007,2008,2009,2010,2011,2012,2013,2007,2008,2009,2010,2011,2012,2013,2007,2008,2009,2010,2011,2012,2013
student_lookup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
entry_year,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
grad_year,0.21341463414634146,0.2655367231638418,0.27672955974842767,0.34074074074074073,0.29245283018867924,0.3402777777777778,0.9391891891891891,,,,0.25,0.2916666666666667,0.19327731092436976,0.22,,,,0.375,0.1791907514450867,0.1907514450867052,0.2222222222222222,0.22641509433962265,0.22527472527472528,0.20670391061452514,0.1896551724137931,0.1694915254237288,0.15760869565217392,0.45664739884393063,,,,,,0.1414141414141414,0.14545454545454545,0.16759776536312848,0.22099447513812154,0.20348837209302326,0.10328638497652583,0.21656050955414013,0.2513089005235602,0.3282051282051282,,,,,,0.5,0.9378238341968912,,,,0.5,0.14285714285714285,0.3416149068322981,0.3064516129032258,,,,,,0.11855670103092783,0.9273743016759777,0.6,0.2,0.26126126126126126,0.2545454545454545,0.15625,0.21052631578947367,0.21311475409836064,0.1827956989247312,0.17,0.15675675675675677,0.19473684210526315,0.16666666666666666,0.21910112359550563,0.9777777777777777,0.13454545454545455,0.13108614232209737,0.14396887159533073,0.18796992481203006,0.17721518987341772,0.1799163179916318,0.34317343173431736,0.20279720279720279,0.1619718309859155,0.15151515151515152,0.12878787878787878,0.21008403361344538,0.13385826771653545,0.2692307692307692,,,1.0,1.0,0.8214285714285714,0.9583333333333334,0.9831223628691983
dropout_year,0.9695121951219512,0.96045197740113,0.9622641509433962,0.9629629629629629,0.9811320754716981,0.9513888888888888,0.9662162162162162,,,,1.0,0.9583333333333334,0.9411764705882353,0.99,,,,1.0,0.9653179190751445,0.9710982658959537,1.0,1.0,1.0,0.9776536312849162,0.9942528735632183,0.9887005649717514,0.967391304347826,1.0,,,,,,0.9663299663299664,0.9727272727272728,0.9888268156424581,0.988950276243094,1.0,0.9859154929577465,0.9808917197452229,0.9738219895287958,0.9897435897435898,,,,,,1.0,0.9792746113989638,,,,0.5,0.8571428571428571,0.8198757763975155,0.967741935483871,,,,,,0.9690721649484536,0.994413407821229,0.8,0.9652173913043478,0.954954954954955,0.9727272727272728,0.9791666666666666,0.9789473684210527,0.9754098360655737,0.9731182795698925,0.94,0.9621621621621622,0.9368421052631579,0.989247311827957,0.9662921348314607,0.9833333333333333,0.9709090909090909,0.9775280898876404,0.9610894941634242,0.9398496240601504,0.9704641350210971,0.9497907949790795,0.974169741697417,0.9790209790209791,0.9929577464788732,0.9924242424242424,1.0,0.9831932773109243,0.9763779527559056,1.0,,,1.0,1.0,0.9642857142857143,0.9965277777777778,0.9957805907172996
in_state_transfer_year,0.7987804878048781,0.6610169491525424,0.5849056603773585,0.5185185185185185,0.5849056603773585,0.6736111111111112,0.668918918918919,,,,0.0,0.6145833333333334,0.7394957983193278,0.76,,,,0.25,0.8092485549132948,0.8034682080924855,0.8111111111111111,0.8301886792452831,0.7362637362637363,0.7541899441340782,0.7241379310344828,0.7457627118644068,0.7989130434782609,0.7976878612716763,,,,,,0.8787878787878788,0.8848484848484849,0.8379888268156425,0.6961325966850829,0.7209302325581395,0.784037558685446,0.6050955414012739,0.6544502617801047,0.7230769230769231,,,,,,0.25,0.8652849740932642,,,,0.0,0.14285714285714285,0.7267080745341615,0.7741935483870968,,,,,,0.8969072164948454,0.9553072625698324,0.6,0.7652173913043478,0.7117117117117117,0.6909090909090909,0.8333333333333334,0.7894736842105263,0.8114754098360656,0.8548387096774194,0.815,0.8108108108108109,0.7421052631578947,0.7258064516129032,0.7865168539325843,0.8444444444444444,0.8945454545454545,0.8314606741573034,0.8560311284046692,0.8421052631578947,0.7848101265822784,0.8619246861924686,0.8118081180811808,0.8601398601398601,0.7253521126760564,0.7954545454545454,0.8181818181818182,0.7310924369747899,0.7952755905511811,0.7846153846153846,,,0.0,0.0,0.42857142857142855,0.8784722222222222,0.9113924050632911
transfer_out_year,0.9817073170731707,0.943502824858757,0.9371069182389937,0.9703703703703703,0.9528301886792453,0.9513888888888888,0.9594594594594594,,,,1.0,0.96875,0.9831932773109243,0.97,,,,1.0,0.9710982658959537,0.9826589595375722,0.9777777777777777,0.9811320754716981,0.9945054945054945,0.9776536312849162,0.9942528735632183,0.9717514124293786,0.9891304347826086,0.9884393063583815,,,,,,0.9663299663299664,0.9757575757575757,0.9888268156424581,0.9834254143646409,0.9941860465116279,0.9812206572769953,0.9872611464968153,0.9842931937172775,0.9948717948717949,,,,,,1.0,0.9792746113989638,,,,1.0,1.0,0.9875776397515528,0.9838709677419355,,,,,,0.9896907216494846,0.9888268156424581,1.0,0.991304347826087,0.963963963963964,0.9727272727272728,0.9479166666666666,0.9789473684210527,1.0,0.9838709677419355,0.945,0.9891891891891892,0.968421052631579,0.9731182795698925,0.9775280898876404,0.9777777777777777,0.9963636363636363,0.9737827715355806,0.9766536964980544,0.9661654135338346,0.9831223628691983,0.9790794979079498,0.9704797047970479,0.972027972027972,0.9577464788732394,0.9696969696969697,0.9772727272727273,0.9831932773109243,1.0,0.9846153846153847,,,1.0,1.0,1.0,0.9930555555555556,0.9957805907172996
withdrew_year,1.0,1.0,1.0,0.9925925925925926,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,,,,1.0,0.9942196531791907,1.0,0.9944444444444445,1.0,1.0,1.0,1.0,1.0,1.0,0.9942196531791907,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,,,,1.0,1.0,1.0,1.0,,,,,,0.9948453608247423,1.0,1.0,0.991304347826087,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9946236559139785,1.0,1.0,1.0,1.0,1.0,0.9924812030075187,0.9957805907172996,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,0.9642857142857143,1.0,1.0
grade_12_entry_year,0.15853658536585366,0.2033898305084746,0.23270440251572327,0.22962962962962963,0.22641509433962265,0.2847222222222222,0.1891891891891892,,,,0.25,0.20833333333333334,0.09243697478991597,0.1,,,,0.25,0.10404624277456648,0.09826589595375723,0.12777777777777777,0.16037735849056603,0.17032967032967034,0.11731843575418995,0.13793103448275862,0.11299435028248588,0.07065217391304347,0.3815028901734104,,,,,,0.08080808080808081,0.09393939393939393,0.10614525139664804,0.16022099447513813,0.13372093023255813,0.07042253521126761,0.07643312101910828,0.1518324607329843,0.26153846153846155,,,,,,0.5,0.12435233160621761,,,,0.0,0.14285714285714285,0.2422360248447205,0.16129032258064516,,,,,,0.12371134020618557,0.05027932960893855,0.4,0.1391304347826087,0.17117117117117117,0.19090909090909092,0.13541666666666666,0.14736842105263157,0.06557377049180328,0.10215053763440861,0.115,0.10270270270270271,0.12631578947368421,0.0913978494623656,0.21910112359550563,0.12222222222222222,0.07272727272727272,0.07865168539325842,0.07782101167315175,0.12781954887218044,0.10126582278481013,0.06694560669456066,0.25830258302583026,0.16083916083916083,0.11971830985915492,0.12121212121212122,0.12878787878787878,0.15966386554621848,0.06299212598425197,0.16923076923076924,,,1.0,1.0,0.35714285714285715,0.22569444444444445,0.22784810126582278
grade_12_withdraw_reason,0.15853658536585366,0.2033898305084746,0.23270440251572327,0.22962962962962963,0.22641509433962265,0.2847222222222222,0.19594594594594594,,,,0.25,0.20833333333333334,0.09243697478991597,0.12,,,,0.375,0.10404624277456648,0.11560693641618497,0.13333333333333333,0.16037735849056603,0.17032967032967034,0.1340782122905028,0.13793103448275862,0.11864406779661017,0.07065217391304347,0.3872832369942196,,,,,,0.08080808080808081,0.10606060606060606,0.10614525139664804,0.16022099447513813,0.14534883720930233,0.07042253521126761,0.09554140127388536,0.16753926701570682,0.26666666666666666,,,,,,0.5,0.917098445595855,,,,0.0,0.14285714285714285,0.2670807453416149,0.23387096774193547,,,,,,0.12371134020618557,0.8994413407821229,0.4,0.1391304347826087,0.17117117117117117,0.19090909090909092,0.13541666666666666,0.14736842105263157,0.06557377049180328,0.10215053763440861,0.115,0.10270270270270271,0.12631578947368421,0.0913978494623656,0.21910112359550563,0.12222222222222222,0.07272727272727272,0.07865168539325842,0.07782101167315175,0.13157894736842105,0.10548523206751055,0.07531380753138076,0.25830258302583026,0.16083916083916083,0.11971830985915492,0.12878787878787878,0.12878787878787878,0.16806722689075632,0.08661417322834646,0.19230769230769232,,,1.0,1.0,0.6785714285714286,0.9201388888888888,0.9282700421940928
